School ID,school_name,type,size,budget
0,Miller High School,Charter,2424,1418040
1,Sherman High School,District,3213,2152710
2,Galloway High School,Charter,2471,1445535
3,Smith High School,District,4954,3210192
4,Kelly High School,District,3307,2225611
5,Hawkins High School,District,4555,2851430
6,Gonzalez High School,Charter,1855,1192765
7,Glass High School,District,3271,2155589
8,Gomez High School,Charter,2154,1288092
9,Campbell High School,Charter,271,157993
10,Macdonald High School,Charter,901,550511
